KODE;NAMA;SAT;SAT2;KONVSAT2;SAT3;KONVSAT3;SAT4;KONVSAT4;SAT5;KONVSAT5;SAT6;KONVSAT6;SAT7;KONVSAT7;SAT8;KONVSAT8;SAT9;KONVSAT9;SAT10;KONVSAT10;HARGABELI;HPP;HARGAJUAL1;MINQTY;HARGAJUAL2;MINQTY2;HARGAJUAL3;MINQTY3;
89003;MIE LIDI PUTIH CAP HARIMAU 1/2                        #UPDATE#30/01/2023#;CRT;CRT;1;CRT;1;;0;;0;;0;;0;;0;;0;;0;297120;297120;305000;0;0;0;0;0;
8902102194637;blau ujala;pcs;pcs;1;lsn;24;;0;;0;;0;;0;;0;;0;;0;3500;0;5000;0;0;0;0;0;
8934868015031;REXONA MEN SS;pcs;pcs;1;KRN;144;;0;;0;;0;;0;;0;;0;;0;1910;0;4000;0;0;0;0;0;
8990044000062;POCKY CHOCOLATE HS;PCS;PCS;1;KTK;10;;0;;0;;0;;0;;0;;0;;0;3710;0;5000;0;0;0;0;0;
8990044000079;POCKY STRAWBERRY STICK HS;PCS;PCS;1;KTK;10;;0;;0;;0;;0;;0;;0;;0;3710;0;5000;0;0;0;0;0;
8990044000086;POCKY COOKIES CREAM HS;PCS;PCS;1;KTK;10;;0;;0;;0;;0;;0;;0;;0;3710;0;5000;0;0;0;0;0;
8990044000093;POCKY CHOCOLATE HS;PCS;PCS;1;KTK;12;;0;;0;;0;;0;;0;;0;;0;1721;0;2000;0;0;0;0;0;
8990044000109; POCKY STRAWBERRY TT;PCS;PCS;1;KTK;12;;0;;0;;0;;0;;0;;0;;0;1721;0;2000;0;0;0;0;0;
8990052004304;PEMPERS MAKUKU UK M;RTG;RTG;1;PCS;8;;0;;0;;0;;0;;0;;0;;0;14544;0;17000;0;0;0;0;0;
8990052004311;PEMPERS MAKUKU UK L;RTG;RTG;1;PCS;8;;0;;0;;0;;0;;0;;0;;0;14544;0;17500;0;0;0;0;0;
8990121011073;kecap bango 189g;BTL;BTL;1;KRN;45;;0;;0;;0;;0;;0;;0;;0;9867;0;11000;0;0;0;0;0;
8990202071057; LAMPU  VONIC T05+;PCS;PCS;1;KTK;39;;0;;0;;0;;0;;0;;0;;0;7800;0;10000;0;0;0;0;0;
8990202071101;LAMPU VONIC T10;PCS;PCS;1;KTK;19;;0;;0;;0;;0;;0;;0;;0;14000;0;17000;0;0;0;0;0;
8990202071156;lampu vonic T15;PCS;PCS;1;KTK;20;;0;;0;;0;;0;;0;;0;;0;20500;0;23000;0;0;0;0;0;
8990202071200;LAMPU VONIC T20;PCS;PCS;1;KTK;20;;0;;0;;0;;0;;0;;0;;0;28000;0;30000;0;0;0;0;0;
8990202071309;LAMPU VONIC T30;PCS;PCS;1;KTK;20;;0;;0;;0;;0;;0;;0;;0;34000;0;36000;0;0;0;0;0;
8990202071408;LAMPU VONIC T40;PCS;PCS;1;KTK;20;;0;;0;;0;;0;;0;;0;;0;46000;0;48000;0;0;0;0;0;
8990333811126;CHOCOPIE;KTK;KTK;1;KTN;8;;0;;0;;0;;0;;0;;0;;0;1688;0;2000;0;0;0;0;0;
8990800004563;MENTOS BUAH;BKS;BKS;1;BKS;4;;0;;0;;0;;0;;0;;0;;0;7500;0;9500;0;0;0;0;0;
8990800020013;mentos mint;BKS;pcs;1;BKS;2;;0;;0;;0;;0;;0;;0;;0;7000;0;9500;0;0;0;0;0;
8990800022437;permen alpenlibe susu karamel;pcs;pcs;1;pcs;3;;0;;0;;0;;0;;0;;0;;0;7500;0;9500;0;0;0;0;0;
8990800022444;permen alpenliebe susu stoberi;pcs;pcs;1;pcs;3;;0;;0;;0;;0;;0;;0;;0;7500;0;9500;0;0;0;0;0;
8991001400024;C0COA VAN HOUNTEN;PCS;PCS;1;KTK;6;;0;;0;;0;;0;;0;;0;;0;27000;0;28500;0;0;0;0;0;
8991002304178;permen relaxa orange mint;pcs;pcs;1;lsn;6;;0;;0;;0;;0;;0;;0;;0;7500;0;9500;0;0;0;0;0;
8991002304802;permen relaxa cherry mint;pcs;pcs;1;lsn;6;;0;;0;;0;;0;;0;;0;;0;7500;0;9500;0;0;0;0;0;
8991002330566;permen relaxa barley;pcs;pcs;1;lsn;6;;0;;0;;0;;0;;0;;0;;0;7500;0;9500;0;0;0;0;0;
8991038774570;kapas muka kharisma;pcs;pcs;1;lsn;12;;0;;0;;0;;0;;0;;0;;0;4708;0;8000;0;0;0;0;0;
8991102007269;TANGO WAFFLE MOCHA LATTE;PCS;PCS;1;KTK;26;;0;;0;;0;;0;;0;;0;;0;1692;0;2000;0;0;0;0;0;
8991102010238;tango stoberi;pcs;pcs;1;pcs;20;;0;;0;;0;;0;;0;;0;;0;1800;0;2500;0;0;0;0;0;
8991102020152;formula ungu;PCS;pcs;1;pcs;12;;0;;0;;0;;0;;0;;0;;0;2917;0;5000;0;0;0;0;0;
8991102022347;formula hijau;PCS;pcs;1;pcs;12;;0;;0;;0;;0;;0;;0;;0;2917;0;5000;0;0;0;0;0;
